strategy,condition,OME,OME_ci_lo,OME_ci_hi,logR2,logR2_ci_lo,logR2_ci_hi,n_folds,n,OME_std_rows,boot_B,boot_seed,ci_level,perfold_OME_mean,perfold_OME_std,perfold_logR2_mean,perfold_logR2_std
random,baseline,0.3100954441591115,0.26319062957802714,0.3611187773562667,0.7048200019459184,0.5652844827732005,0.796749618768026,10,169,0.32448194457912377,10000,42,95,0.30844073717460624,0.06928787744557481,0.6415258637199289,0.266581033294339
random,layers,0.3127969847597248,0.26689008707377826,0.36218339589640164,0.7110743791619422,0.5789019604468478,0.7972968587341044,10,169,0.3151432597730296,10000,42,95,0.31169288604168793,0.06597469958838101,0.6548354900764662,0.22802337910703768
random,thickness,0.2937461355243116,0.2494890600311095,0.3420310915337568,0.7364040906075409,0.6313487025786131,0.8090910342784629,10,169,0.30594714596908634,10000,42,95,0.29219308182284204,0.05817757134170923,0.683820679163582,0.22659065028305472
