strategy,condition,OME,OME_ci_lo,OME_ci_hi,logR2,logR2_ci_lo,logR2_ci_hi,n_folds,n,OME_std_rows,boot_B,boot_seed,ci_level,perfold_OME_mean,perfold_OME_std,perfold_logR2_mean,perfold_logR2_std
restricted-group,baseline,0.24850620474276147,0.1585107535316008,0.3540701765207016,0.34305705780924256,0.004361424807773384,0.4753993889202468,5,26,0.25898777117938404,10000,42,95,0.2512358543232089,0.07287498792249715,-0.23679671302463898,0.8946162653049762
restricted-group,layers,0.2453423156710478,0.1635446917641846,0.33666390808627,0.419423241640114,-0.09548929956439554,0.5553888657895866,5,26,0.2311637585747195,10000,42,95,0.2530508511538338,0.1057837538075648,0.04104451141062708,0.5094187886767576
restricted-group,thickness,0.23767596744377797,0.15216176021055128,0.33784867441816746,0.41293428255660314,0.010393741608536667,0.5823149071770279,5,26,0.24204278129403334,10000,42,95,0.23837695790726246,0.04941646833145351,-0.2235251682074987,1.0354757038881288
